REQUESTED_FRE_ID;PHOTONIC_SERVICE_ID;FREQUENCY;WIDTH;WAVELENGTH;CHANNEL
-2242719450019019377;5673913454897810460;194.000000;37.5;1545.32;CH-39
-2242719450019019377;-3226727853462410173;193.600000;37.5;1548.51;CH-47
-2242719450019019377;;;;;
-2242719450019019377;494594794016102254-snc::controlPlane;195.700000;101.800;1531.9;CH-5
-2242719450019019377;;;;;
-2242719450019019377;-3883281280388571895;193.950000;37.5;1545.72;CH-40
-2242719450019019377;7fd07296-af22-410d-a5f7-4f9b632fac4b;195.311500;59.000;;
-2242719450019019377;-2078569156114021274-snc::controlPlane;193.250000;59.000;1551.32;CH-54
-2242719450019019377;e9a1ef6c-b3fb-46e7-86dd-9515ecabc483;195.188500;59.000;;
-2242719450019019377;6007100605839137070;191.900000;37.5;1562.23;CH-81
-2242719450019019377;;;;;
-2242719450019019377;2cec7881-cc66-48f2-944e-e3ce2d836d23;194.850000;37.500;1538.58;CH-22
-2242719450019019377;5309425777019187137-snc::controlPlane;191.668750;101.800;;
-2242719450019019377;2836878345987666081;193.700000;37.5;1547.72;CH-45
-2242719450019019377;;;;;
-2242719450019019377;5d33ba51-336d-4d46-b8f9-ba280fa22725;192.200000;59.000;1559.79;CH-75
-2242719450019019377;-5151973031856185206-snc::controlPlane;194.631250;101.800;;
-2242719450019019377;;;;;
-2242719450019019377;;;;;
-2242719450019019377;a2503cda-c38e-425d-91b5-fdf11c311ee5;194.150000;37.500;1544.13;CH-36
-2242719450019019377;;;;;
-2242719450019019377;7692784684120185465;193.850000;37.5;1546.52;CH-42
-226701154448369746;4942645699981026196-snc::controlPlane;192.950000;37.500;1553.73;CH-60
-226701154448369746;-9090545115367141883;193.850000;37.5;1546.52;CH-42
-226701154448369746;2208275095458123170;193.450000;37.5;1549.72;CH-50
-226701154448369746;3788582245418993392;192.900000;37.5;1554.13;CH-61
-226701154448369746;-4689329977446562738;193.900000;37.500;1546.12;
-226701154448369746;8287853772381671323;193.600000;37.5;1548.51;CH-47
-226701154448369746;-8318624620631280924-snc::controlPlane;195.400000;59.000;1534.25;CH-11
-226701154448369746;;;;;
-226701154448369746;;;;;
-226701154448369746;-8465115762198201155;194.000000;37.5;1545.32;CH-39
-226701154448369746;cd20433f-f2e2-4526-a896-a8890b97142f;193.650000;37.500;1548.11;CH-46
-226701154448369746;;;;;
-226701154448369746;-7424829234677332349-snc::controlPlane;192.450000;59.000;1557.77;CH-70
-226701154448369746;2684853105157595934-snc::controlPlane;194.150000;101.800;1544.13;CH-36
-226701154448369746;;;;;
-226701154448369746;;;;;
-226701154448369746;7769556272936361374;192.100000;37.500;1560.61;CH-77
-226701154448369746;419757951841298881-snc::controlPlane;194.550000;101.800;1540.95;CH-28
-226701154448369746;-2179690885883656951-snc::controlPlane;195.587500;59.000;;
-226701154448369746;;;;;
-226701154448369746;;;;;
-226701154448369746;-8137643980727747504-snc::controlPlane;193.150000;37.500;1552.12;CH-56
-226701154448369746;;;;;
-2452911897910629777;-9090545115367141883;193.850000;37.5;1546.52;CH-42
-2452911897910629777;;;;;
-2452911897910629777;4825872071134016992-snc::controlPlane;195.500000;59.000;1533.47;CH-9
-2452911897910629777;5031330700812503065-snc::controlPlane;195.675000;59.000;;
-2452911897910629777;-8318624620631280924-snc::controlPlane;195.400000;59.000;1534.25;CH-11
-2452911897910629777;7394243575023806624;193.650000;37.5;1548.11;CH-46
